"","id","name"
"1007","b2914","rpiA"
"1008","b0750","nadA"
"1009","b2320","pdxB"
"1010","b0306","ykgE"
"1011","b1126","potA"
"1012","b1107","nagZ"
"1013","b0854","potF"
"1014","b0307","ykgF"
"1015","b1539","ydfG"
"1016","b3605","lldD"
"1017","b0308","ykgG"
"1018","b2492","focB"
"1019","b1441","ydcT"
"1020","b0857","potI"
"1021","b3823","rhtC"
"1022","b1443","ydcV"
"1023","b1124","potC"
"1024","b0904","focA"
"1025","b1125","potB"
"1026","b0813","rhtA"
"1027","b1440","ydcS"
"1028","b2919","scpB"
"1029","b1442","ydcU"
"1030","b3631","waaG"
"1031","b3870","glnA"
"1032","b0914","msbA"
"1033","b2947","gshB"
"1034","b1300","puuC"
"1035","b2957","ansB"
"1036","b0150","fhuA"
"1037","b2253","arnB"
"1038","b2254","arnC"
"1039","b1967","hchA"
"1040","b2256","arnD"
"1041","b0933","ssuB"
"1042","b1865","nudB"
"1043","b2258","arnF"
"1044","b0934","ssuC"
"1045","b4544","arnE"
"1046","b0936","ssuA"
"1047","b2954","rdgB"
"1048","b3621","waaC"
"1049","b2032","wbbK"
"1050","b1781","yeaE"
"1051","b2027","wzzB"
"1052","b1002","agp"
"1053","b3001","gpr"
"1054","b2938","speA"
"1055","b4090","rpiB"
"1056","b2035","wbbH"
"1057","b3620","waaF"
"1058","b3622","waaL"
"1059","b3624","waaZ"
"1060","b0459","maa"
"1061","b4084","alsK"
"1062","b3629","waaS"
"1063","b4085","alsE"
"1064","b0585","fes"
"1065","b3628","waaB"
"1066","b3748","rbsD"
"1067","b3627","waaO"
"1068","b3751","rbsB"
"1069","b1326","mpaA"
"1070","b3850","hemG"
"1071","b1325","ycjG"
"1072","b3750","rbsC"
"1073","b3630","waaP"
"1074","b4230","ytfT"
"1075","b0591","entS"
"1076","b3632","waaQ"
"1077","b3035","tolC"
"1078","b4227","ytfQ"
"1079","b3625","waaY"
"1080","b4231","yjfF"
"1081","b0692","potE"
"1082","b2810","csdA"
"1083","b3749","rbsA"
"1084","b4485","ytfR"
"1085","b2014","plaP"
"1086","b0260","mmuP"
"1087","b1680","sufS"
"1088","b1296","puuP"
"1089","b3867","hemN"
"1090","b1298","puuD"
"1091","b3374","frlD"
"1092","b0810","glnP"
"1093","b0809","glnQ"
"1094","b3824","rhtB"
"1095","b1308","pspE"
"1096","b2133","dld"
"1097","b0811","glnH"
"1098","b2260","menE"
"1099","b1492","gadC"
"1100","b2197","ccmE"
"1101","b1919","dcyD"
"1102","b2198","ccmD"
"1103","b3653","gltS"
"1104","b2578","eamB"
"1105","b2201","ccmA"
"1106","b1533","eamA"
"1107","b2200","ccmB"
"1108","b2199","ccmC"
"1109","b3927","glpF"
"1110","b3959","argB"
"1111","b4394","yjjX"
"1112","b0622","pagP"
"1113","b2499","purM"
"1114","b3785","wzzE"
"1115","b2170","setB"
"1116","b3825","pldB"
"1117","b0070","setA"
"1118","b3793","wzyE"
