GeneName	 Accession-1	 Left-End-Position	 Right-End-Position	Product	Map to Escherichia coli CFT073
EG10435	b4175	4403300	4404304	EG10435-MONOMER	C5259
EG30010	b0203	225500	225575	alaV-tRNA	
EG10638	b1224	1279864	1283607	NARG-MONOMER	C1685
G7614	b3100	3250077	3250376	G7614-MONOMER	C3858
G7717	b3351	3480607	3481161	G7717-MONOMER	C4126
G7579	b3032	3176006	3176833	G7579-MONOMER	C3778
M010	b0347	368611	370275	MHPHYDROXY-MONOMER	
G6389	b0746	781068	781143	RNA0-300	
G7156	b2229	2334336	2334959	G7156-MONOMER	C2771
G7636	b3141	3286270	3287025	G7636-MONOMER	C3898
EG10436	b4174	4402038	4403297	EG10436-MONOMER	C5258
EG30097	b1032	1097565	1097652	serX-tRNA	
EG11946	b4072	4289808	4290479	NRFC-MONOMER	C5068
G6860	b1604	1678427	1679371	G6860-MONOMER	C1996
G7599	b3080	3228888	3231239	G7599-MONOMER	C3838
EG10535	b1139	1198695	1199588	EG10535-MONOMER	
G6711	b1390	1455164	1455910	G6711-MONOMER	
EG30057	b0745	780843	780918	lysW-tRNA	
G6473	b0919	971752	972645	G6473-MONOMER	C1060
G7490	b2871	3007510	3008706	G7490-MONOMER	C3449
EG11626	b0862	901534	902250	ARTQ-MONOMER	C0995
EG11306	b0628	659251	660216	EG11306-MONOMER	C0718
EG30041	b4165	4392583	4392658	glyY-tRNA	
EG10331	b4153	4379783	4380517	FUM-FE-S	C5241
EG12868	b1273	1330417	1330668	EG12868-MONOMER	C1739
G7408	b2690	2816937	2817503	G7408-MONOMER	C3247
EG11591	b0630	661637	662278	EG11591-MONOMER	C0720
G6141	b0269	283201	285168	G6141-MONOMER	
EG30023	b3760	3946872	3946948	aspT-tRNA	
EG12025	b2144	2232878	2233597	EG12025-MONOMER	C2677
G7164	b2251	2364554	2364979	G7164-MONOMER	C2793
EG11223	b3960	4156850	4158223	ARGSUCCINLYA-MONOMER	C4919
EG11796	b4386	4623101	4624117	EG11796-MONOMER	C5471
EG30113	b2402	2521051	2521126	valX-tRNA	
EG11814	b0997	1059256	1061802	TORA-MONOMER	C1133
EG11660	b1929	2008277	2009482	EG11660-MONOMER	C2344
G7160	b2247	2360209	2361414	G7160-MONOMER	C2789
EG10255	b2209	2303905	2304393	EG10255-MONOMER	C2750
EG12768	b3137	3283143	3284003	TAGAALDOL1-MONOMER	C3894
EG30094	b1975	2043468	2043557	serU-tRNA	
G7555	b2998	3146450	3146737	G7555-MONOMER	C3735
G7158	b2245	2358042	2358845	G7158-MONOMER	C2787
EG10068	b3172	3318637	3319980	ARGSUCCINSYN-MONOMER	C3929
EG11034	b4355	4591657	4593312	TSR-MONOMER	C5430
EG30054	b1909	1991815	1991901	leuZ-tRNA	
EG10233	b0895	943414	944031	DMSB-MONOMER	C1032
G7035	b1904	1988222	1988545	G7035-MONOMER	C2319
G7145	b2146	2234033	2235271	G7145-MONOMER	C2679
EG10987	b1885	1969383	1970984	TAP-MONOMER	
EG12287	b3583	3750086	3750781	EG12287-MONOMER	C4406
EG30038	b4163	4392360	4392435	glyV-tRNA	
G6841	b1583	1655808	1656149	G6841-MONOMER	C1973
G7123	b2086	2168712	2169611	G7123-MONOMER	C2614
EG10065	b3958	4155001	4156005	N-ACETYLGLUTPREDUCT-MONOMER	C4917
EG12854	b0742	779598	780389	EG12854-MONOMER	C0822
EG30020	b1977	2044549	2044624	asnT-tRNA	
EG11380	b0978	1037740	1039284	APPC-MONOMER	C1119
G6385	b0716	747921	748982	G6385-MONOMER	C3794
G6810	b1524	1612325	1613251	G6810-MONOMER	C1947
EG10811	b4244	4470986	4471447	ASPCARBREG-MONOMER	C5344
EG11846	b3881	4071773	4072651	EG11846-MONOMER	C4827
EG30110	b2401	2520931	2521006	valU-tRNA	
EG12842	b0850	890913	891200	EG12842-MONOMER	C0983
G6791	b1501	1584207	1586486	G6791-MONOMER	C1930
EG11627	b0861	900866	901534	ARTM-MONOMER	C0994
EG11682	b3204	3346578	3347069	MONOMER0-4293 // EG11682-MONOMER	C3964
EG30068	b3799	3982735	3982811	proM-tRNA	
EG10647	b1467	1537309	1538853	NARY-MONOMER	C1899
EG11931	b4048	4260599	4261306	EG11931-MONOMER	
G6731	b1412	1482255	1482860	G6731-MONOMER	C1839
EG10149	b1887	1972836	1973339	CHEW-MONOMER	C2302
EG11055	b1617	1694260	1696071	BETA-GLUCURONID-MONOMER	C2009
EG30051	b4368	4606079	4606165	leuV-tRNA	
EG11607	b1251	1310569	1310865	EG11607-MONOMER	C1716
G6727	b1408	1477621	1478226	G6727-MONOMER	C1834
EG11286	b3957	4153696	4154847	ACETYLORNDEACET-MONOMER	C4916
G6550	b1045	1105820	1106353	G6550-MONOMER	C1309
EG30035	b2590	2729369	2729444	gltW-tRNA	
EG10174	b0734	773042	774181	CYDB-MONOMER	C0812
EG11927	b4038	4250703	4252283	EG11927-MONOMER	
G6717	b1396	1460471	1460893	G6717-MONOMER	
EG11238	b0773	807433	807909	EG11238-MONOMER	C0850
GB4478	b4478	3871850	3872998	GALACTONATE-DEHYDRATASE-MONOMER	
EG30017	b3796	3982375	3982451	argX-tRNA	
EG11719	b3696	3875438	3876094	EG11719-MONOMER	C4617
G6701	b1378	1437260	1440784	G6701-MONOMER	C1823
EG10069	b4254	4477307	4478311	CHAINI-MONOMER	C5353
G6116	b0232	252005	252298	G6116-MONOMER	
G7387	b2652	2785762	2785837	RNA0-305	
G6849	b1591	1664506	1665120	G6849-MONOMER	C1982
EG11467	b3820	4004230	4004697	EG11467-MONOMER	C4741
G6580	b1134	1193827	1194288	G6580-MONOMER	C1513
EG10988	b1886	1971030	1972691	TAR-MONOMER	C2301
G7724	b4474	3502340	3503170	G7724-MONOMER	
EG30107	b3977	4175472	4175556	tyrU-tRNA	
EG11161	b2928	3073976	3074689	EG11161-MONOMER	C3511
