Genes,GT,CF_labs
dgk,1,1
sleL,1,1
yaaI,1,1
tadA,1,1
dnaX,0,1
ebfC,1,1
recR,1,1
yaaL,1,1
yaaO,1,1
tmk,0,0
darA,1,1
yaaR,1,1
holB,0,1
ricT,1,1
dnaH,1,1
trmNF,1,1
yazA,1,1
rsmI,1,1
metS,0,1
dayD,1,1
yabE,1,1
rnmV,1,1
rsmA,1,1
prtG,1,1
ispE,0,0
ridA,1,1
glmU,1,0
pth,0,1
fin,1,1
mfd,1,1
yabM,1,1
yabN,1,1
hslR,1,1
spcP,1,1
spcQ,1,1
yabS,1,1
prkT,1,1
tilS,0,1
hprT,1,1
coaX,1,1
hslO,1,1
yacD,1,1
folP,1,0
dusB,1,1
disA,1,1
ispD,0,0
ispF,0,0
mrnC,1,1
rlmB,1,1
raeA,1,1
rpmGB,1,1
secE,0,1
nusG,1,1
rplK,1,1
rplA,1,1
rplJ,0,1
rplL,0,1
rlmG,1,1
rpoC,0,1
rulS,1,1
rpsL,0,1
rpsG,0,1
fusA,0,1
tufA,0,1
ybaC,1,1
rpsJ,0,1
rplC,0,1
rplD,0,1
rplW,0,1
rplB,0,1
rpsS,0,1
rplV,0,1
rpsC,0,1
rplP,0,1
rpmC,1,1
rpsQ,0,1
rplNA,0,1
rplX,0,1
rplE,0,1
rpsNA,0,1
rpsH,0,1
rplF,0,1
rplR,0,1
rpsE,0,1
rpmD,0,1
rplO,1,1
secY,0,1
adk,0,1
mapA,1,1
ybzG,1,1
infA,0,1
rpmJ,1,1
rpsM,0,1
rpsK,0,1
rpoA,0,1
rplQ,0,1
ecfA,1,1
ecfAB,1,1
ecfT,1,1
truA,1,1
rplM,0,1
rpsI,0,1
ybaJ,1,1
salA,1,1
kbaA,1,1
pdaB,1,1
ybaR,1,1
ybaS,1,1
eesA,1,1
btr,1,1
murP,1,1
murR,1,1
murQ,1,1
ybbJ,1,1
ybbK,1,1
rsiW,1,1
cdaA,1,1
cdaR,1,1
glmM,0,0
glmS,0,0
ybbU,1,1
ndhF,1,1
ybcC,1,1
ybcF,1,1
ybcH,1,1
ybcI,1,1
ybzH,1,1
ybcL,1,1
ybcM,1,1
skfA,1,1
skfB,1,1
skfC,1,1
skfE,1,1
skfF,1,1
skfG,1,1
skfH,1,1
ybdG,1,1
ybdJ,1,1
ybzI,1,1
ybdM,1,1
ybdN,1,1
ybxG,1,1
ybxI,1,1
cypC,1,1
ybyB,1,1
ybeC,1,1
glpQA,1,1
ybeF,1,1
ybfA,1,1
ybfB,1,1
ybfEc,1,1
ybfEn,1,1
ybfF,1,1
ybfG,1,1
ybfH,1,1
ybfI,1,1
mpr,1,1
ybfJ,1,1
cesB,1,1
ybfN,1,1
ybfP,1,1
ybfQ,1,1
gltP,1,1
gamP,1,1
gamA,1,1
gamR,1,1
ilvE,1,1
ybgF,1,1
ybgG,1,1
glnT,1,1
glsA,1,1
glnJ,1,1
glnL,1,1
kdgD,1,1
gucD,1,1
gudP,1,1
gudD,1,1
garR,1,1
garD,1,1
ycbJ,1,1
rtpA,1,1
ycbL,1,1
ycbM,1,1
ycbN,1,1
ycbO,1,1
BSU_02585,1,1
ycbP,1,1
ycbR,1,1
yczK,1,1
tatAD,1,1
tatCD,1,1
pcp,1,1
ycbU,1,1
ansZ,1,1
estA,1,1
yczC,1,1
yccF,1,1
natK,1,1
natR,1,1
natA,1,1
natB,1,1
yccK,1,1
ycdA,1,1
BSU_02785,1,1
ycdB,1,1
ycdC,1,1
cwlK,1,1
rapJ,1,1
ycdF,1,1
ycdG,1,1
znuA,1,1
znuC,1,1
znuB,1,1
yceB,1,1
niaP,1,1
yceJ,1,1
yceK,1,1
ycgA,1,1
ycgB,1,1
lctE,1,1
mdr,1,1
ycgE,1,1
ycgH,1,1
ycgI,1,1
tmrB,1,1
aroK,0,0
ycgJ,1,1
ycgK,1,1
cah,1,1
ycgL,1,1
putB,1,1
putC,1,1
putP,1,1
putR,1,1
ycgQ,1,1
ycgR,1,1
ycgS,1,1
ffoR,1,1
yczL,1,1
zinU,1,1
yckA,1,1
yckB,1,1
BSU_03385,1,1
yckC,1,1
srfT,1,1
ycxB,1,1
ycxC,1,1
ycxD,1,1
sfpAc,1,1
sfpAn,1,1
yczE,1,1
tcyC,1,1
tcyB,1,1
tcyA,1,1
bsdA,1,1
ubiX,1,1
bsdC,1,1
bsdD,1,1
yclD,1,1
yclE,1,1
dtpT,1,1
yclG,1,1
yczF,1,1
yclH,1,1
yclI,1,1
yclJ,1,1
yclK,1,1
yczM,1,1
yczN,1,1
thrD,1,0
pbtN,1,1
pbtO,1,1
pbtP,1,1
pbtQ,1,1
ycnB,1,1
ycnC,1,1
nfrAB,1,1
ycnE,1,1
yczG,1,1
cutI,1,1
cutJ,1,1
cutR,1,1
ycnL,1,1
mtlA,1,1
mtlF,1,1
mtlD,1,1
ycsA,1,1
sipU,1,1
yczH,1,1
ycsD,1,0
yczO,1,1
ribZ,1,1
pxpA,1,1
pxpG,1,1
pxpI,1,1
pxpB,1,1
pxpC,1,1
pxpR,1,1
lipC,1,1
yczI,1,1
yczJ,1,1
pbpC,1,1
ycsN,1,1
mtlR,1,1
ydaB,1,1
ydaC,1,1
lyxE,1,1
amj,1,1
ydzA,1,1
topB,1,1
epsJ,1,1
epsK,1,1
ydaL,1,1
ydaM,1,1
ydaN,1,1
kimA,1,1
nudT,1,1
poxB,1,1
BSU_04345,1,1
ydzK,1,1
ydbA,1,1
ydbB,1,1
ydbC,1,1
dctB,1,1
dctS,1,1
dctR,1,1
ydbI,1,1
ydbJ,1,1
ydbK,1,1
ydbL,1,1
ydbM,1,1
fbpB,1,1
fbpA,1,1
ydbO,1,1
ddlA,1,0
murF,0,0
cshA,1,1
acpS,0,1
alrA,0,0
ndoAI,1,1
ndoA,1,1
rsbRA,1,1
BSU_04745,1,1
ydcF,1,1
ydcG,1,1
ydcH,1,1
tex,1,1
cmpA,1,1
ydcK,1,1
ydcL,1,1
immA,1,1
immR,1,1
xis,1,1
ydzL,1,1
ydcO,1,1
BSU_04849,1,1
helP,1,1
conQ,1,1
nicK,1,1
ydcS,1,1
ydcT,1,1
yddA,1,1
conC,1,1
conD,1,1
yddF,1,1
cwlT,1,1
yddI,1,1
yddJ,1,1
yddK,1,1
rapI,1,1
yddM,1,1
yddN,1,1
lrpA,1,1
lrpB,1,1
yddQ,1,1
yddR,1,1
yddS,1,1
ydzM,1,1
yddT,1,1
ydzN,1,1
sufLC,1,1
cspC,1,1
cdnL,1,1
ydzE,1,1
ydeC,1,1
ydeD,1,1
ydeE,1,1
ydeF,1,1
ydeG,1,1
ydeH,1,1
ydeI,1,1
ydeJ,1,1
ydeK,1,1
ydeL,1,1
ydeM,1,1
ydeN,1,1
ydzF,1,1
ydeO,1,1
ydeP,1,1
ydeQ,1,1
ydeR,1,1
ydeS,1,1
ydzO,1,1
aseR,1,1
arsF,1,1
