"crp","lsrB"
"crp","lsrC"
"crp","lsrD"
"crp","lsrF"
"crp","lsrG"
"crp","lsrK"
"crp","lsrR"
"crp","lyxK"
"crp","malE"
"crp","malF"
"crp","malG"
"crp","malI"
"crp","malK"
"crp","malM"
"crp","malS"
"crp","malT"
"crp","malX"
"crp","malY"
"crp","manA"
"crp","manX"
"crp","manY"
"crp","manZ"
"crp","marA"
"crp","marB"
"crp","marR"
"crp","mazE"
"crp","mazF"
"crp","mdh"
"crp","mdtE"
"crp","mdtF"
"crp","melA"
"crp","melB"
"crp","melR"
"crp","metK"
"crp","mglA"
"crp","mglB"
"crp","mglC"
"crp","mhpA"
"crp","mhpB"
"crp","mhpC"
"crp","mhpD"
"crp","mhpE"
"crp","mhpF"
"crp","mhpR"
"crp","mlc"
"crp","modA"
"crp","modB"
"crp","modC"
"crp","mpl"
"crp","mtlA"
"crp","mtlD"
"crp","mtlR"
"crp","murP"
"crp","murQ"
"crp","nadC"
"crp","nagA"
"crp","nagB"
"crp","nagC"
"crp","nagE"
"crp","nanA"
"crp","nanC"
"crp","nanE"
"crp","nanK"
"crp","nanM"
"crp","nanT"
"crp","narQ"
"crp","nfuA"
"crp","nirB"
"crp","nirC"
"crp","nirD"
"crp","nlpE"
"crp","nmpC"
"crp","nrdA"
"crp","nrdB"
"crp","nupC"
"crp","nupG"
"crp","nusA"
"crp","ompA"
"crp","ompF"
"crp","ompR"
"crp","osmY"
"crp","oxyR"
"crp","paaA"
"crp","paaB"
"crp","paaC"
"crp","paaD"
"crp","paaE"
"crp","paaF"
"crp","paaG"
"crp","paaH"
"crp","paaI"
"crp","paaJ"
"crp","paaK"
"crp","paaZ"
"crp","pdhR"
"crp","pflB"
"crp","pgk"
"crp","pncB"
"crp","pnp"
"crp","ppdD"
"crp","ppiA"
"crp","preA"
"crp","preT"
"crp","proP"
"crp","prpB"
"crp","prpC"
"crp","prpD"
"crp","prpE"
"crp","prpR"
"crp","psiE"
"crp","ptsG"
"crp","ptsH"
"crp","ptsI"
"crp","putP"
"crp","rbfA"
"crp","rbsA"
"crp","rbsB"
"crp","rbsC"
"crp","rbsD"
"crp","rbsK"
"crp","rbsR"
"crp","relA"
"crp","rhaA"
"crp","rhaB"
"crp","rhaD"
"crp","rhaR"
"crp","rhaS"
"crp","rhaT"
"crp","rimP"
"crp","rof"
"crp","rpoH"
"crp","rpoS"
"crp","rpsO"
"crp","sbmC"
"crp","sdhA"
"crp","sdhB"
"crp","sdhC"
"crp","sdhD"
"crp","serA"
"crp","serC"
"crp","sfsA"
"crp","sgbE"
"crp","sgbH"
"crp","sgbU"
"crp","sodA"
"crp","sodB"
"crp","sohB"
"crp","speC"
"crp","spf"
"crp","srlA"
"crp","srlB"
"crp","srlD"
"crp","srlE"
"crp","srlR"
"crp","sucA"
"crp","sucB"
"crp","sucC"
"crp","sucD"
"crp","tam"
"crp","tdcA"
"crp","tdcB"
"crp","tdcC"
"crp","tdcD"
"crp","tdcE"
"crp","tdcF"
"crp","tnaA"
"crp","tnaB"
"crp","tnaC"
"crp","treB"
"crp","treC"
"crp","trg"
"crp","truB"
"crp","trxA"
"crp","tsx"
"crp","ubiG"
"crp","udp"
"crp","ugpA"
"crp","ugpB"
"crp","ugpC"
"crp","ugpE"
"crp","ugpQ"
"crp","uhpT"
"crp","uidA"
"crp","uidB"
"crp","uidC"
"crp","ulaA"
"crp","ulaB"
"crp","ulaC"
"crp","ulaD"
"crp","ulaE"
"crp","ulaF"
"crp","uxaA"
"crp","uxaB"
"crp","uxaC"
"crp","uxuA"
"crp","uxuB"
"crp","uxuR"
"crp","xseA"
"crp","xylA"
"crp","xylB"
"crp","xylF"
"crp","xylG"
"crp","xylH"
"crp","xylR"
"crp","yaeQ"
"crp","ybiT"
"crp","ychH"
"crp","yeiP"
"crp","yfaE"
"crp","yhfA"
"crp","yiaK"
"crp","yiaL"
"crp","yiaM"
"crp","yiaN"
"crp","yiaO"
"crp","yjcH"
"crp","zraR"
"crp","zraS"
"csgD","csgA"
"csgD","csgB"
"csgD","csgC"
"csgD","csgE"
"csgD","csgF"
"csgD","csgG"
"csgD","fliE"
"csgD","fliF"
"csgD","fliG"
"csgD","fliH"
"csgD","fliI"
"csgD","fliJ"
"csgD","fliK"
"csgD","iraP"
"csgD","nlpA"
"csgD","pepD"
"csgD","wrbA"
"csgD","yccJ"
"csgD","yhbS"
"cspA","gyrA"
"cspA","hns"
"cueR","copA"
"cueR","cueO"
"cueR","moaA"
"cueR","moaB"
"cueR","moaC"
"cueR","moaD"
"cueR","moaE"
"cusR","cusA"
"cusR","cusB"
"cusR","cusC"
"cusR","cusF"
"cusR","cusS"
"cynR","cynS"
"cynR","cynT"
"cynR","cynX"
"cysB","cbl"
"cysB","cysA"
