"Gene","Cell_Growth"
"nuoC",0.532
"nuoA",0.561
"hisP",0.853
"hisQ",0.805
"fadL",0.781
"nupC",0.749
"gltX",0
"crr",0.826
"cysM",0.809
"cysU",0.796
"purC",0.439
"hyfB",0.793
"hyfC",0.941
"hyfG",0.795
"purM",0.526
"hmp",0.728
"nrdF",0.665
"cysN",0.797
"gudX",0.777
"araE",0.71
"serA",0.856
"epd",0.844
"exbB",0.668
"yqhD",0.791
"ttdA",0.711
"tdcB",0.786
"garR",0.803
"garP",0.745
"kbaY",0.613
"argG",0.698
"nanT",0.821
"nanA",0.669
"murI",0
"argB",0.709
"gldA",0.673
"fpr",0.823
"rhaD",0
"wzzE",0.818
"rbsA",0.497
"glmU",0
"bglF",0.709
"tnaA",0.766
"tdh",0.771
"malS",0.75
"xylA",0.765
"xylB",0.815
"dppC",0.772
"dctA",0.746
"gor",0.423
"livH",0.783
"livG",0.745
"livF",0.849
"ugpE",0.819
"ugpC",0.782
"glgB",0.746
"glgA",0.779
"pck",0.722
"nirD",0.811
"argD",0.783
"metA",0.76
"aceB",0.843
"aceA",0.824
"ubiA",0
"dgkA",0.847
"nrfD",0.814
"phnP",0.812
"phnO",0.816
"proP",0.756
"melA",0.572
"ulaC",0.736
"ulaD",0.582
"ulaE",0.637
"cpdB",0.801
"nrdD",0.824
"treB",0.705
"pepA",0.647
"fecD",0.83
